생일,,,1024,NNP,*,T,CPI03,*,*,*,*,*
기념일,,,1024,NNP,*,T,CPI03,*,*,*,*,*
결혼,,,1024,NNP,*,T,CPI03,*,*,*,*,*
100일,,,1024,NNP,*,T,CPI03,*,*,*,*,*
